hospital,n_train,n_test,accuracy,precision,recall,f1,auc
cleveland,227,76,0.7368,0.7586,0.6286,0.6875,0.8397
hungary,218,73,0.7945,0.7037,0.7308,0.717,0.847
switzerland,87,29,0.8966,0.9286,0.963,0.9455,0.4444
va_long_beach,104,35,0.7714,0.7879,0.963,0.8667,0.463
