seed,local_nn_accuracy,fedavg_nn_accuracy,centralized_nn_accuracy
42,0.7840173708920187,0.8309657276995305,0.8216
1,0.8028173708920187,0.8169004694835681,0.8075
7,0.7980957746478874,0.8216103286384976,0.8216
123,0.7793169014084507,0.8262934272300468,0.8169
2024,0.7746338028169013,0.8356859154929578,0.8216
