feature,mean_abs_shap
cp_4,0.11261116539455199
oldpeak,0.0690776145806938
exang,0.06814580063097851
thalach,0.06502672255151326
sex,0.05874617973003352
cp_2,0.05374168869627143
age,0.05012296357155426
trestbps,0.02526093421302834
cp_3,0.02117147491038238
restecg_0,0.008538143742029058
restecg_1,0.007440935699105642
restecg_2,0.006468653901463166
cp_1,0.0033659039507111625
