round,global_weighted_accuracy
1,0.46010046948356803
2,0.6760417840375588
3,0.8168948356807513
4,0.8262723004694835
5,0.821575117370892
6,0.8450596244131455
7,0.8497568075117371
8,0.8450840375586856
9,0.8403741784037558
10,0.8310046948356808
11,0.8215976525821596
12,0.8309760563380283
13,0.8356859154929578
14,0.8356859154929578
15,0.8356859154929577
16,0.8403854460093896
17,0.8356755868544601
18,0.8309657276995305
19,0.8309657276995305
20,0.8309657276995305
