feature,mean_abs_shap
cp_4,0.06902800945652016
oldpeak,0.05249659021435216
thalach,0.04039971766609224
sex,0.03568931409301129
age,0.03535903223090891
exang,0.034578507713770384
restecg_1,0.029105597764382804
cp_3,0.02473105806689183
trestbps,0.023066548856687463
restecg_0,0.013511679257607488
restecg_2,0.008280527485403344
cp_2,0.0009710026273736703
cp_1,0.0
