hospital,n_train,n_test,accuracy,precision,recall,f1,auc
cleveland,227,76,0.8553,0.8529,0.8286,0.8406,0.9275
hungary,218,73,0.8356,0.85,0.6538,0.7391,0.9018
switzerland,87,29,0.931,0.931,1.0,0.9643,0.6111
va_long_beach,104,35,0.7429,0.7647,0.963,0.8525,0.6944
