seed,local_nn_accuracy,fedavg_nn_accuracy,fedprox_nn_accuracy,personalized_accuracy,centralized_nn_accuracy
42,0.7840173708920187,0.8309657276995305,0.8309802816901409,0.8450690140845071,0.8216
1,0.8028173708920187,0.8169004694835681,0.8309882629107981,0.8356488262910798,0.8075
7,0.7980957746478874,0.8309816901408449,0.8310004694835682,0.8403563380281689,0.8216
123,0.7793169014084507,0.8262934272300468,0.8168985915492958,0.8309868544600939,0.8169
2024,0.7746338028169013,0.8356859154929578,0.8168854460093897,0.8356779342723004,0.8216
